Year;city;Total
2025;      Flensburg;46361
2025;Kiel;132570
2025;Lübeck, Hansestadt;106836
2025;Neumünster;41970
2025;Dithmarschen;45168
2025;Herzogtum Lauenburg;51113
2025;Nordfriesland;64028
2025;Ostholstein;64675
2025;Pinneberg;98334
2025;Plön;29716
2025;Rendsburg-Eckernförde;87548
2025;Schleswig-Flensburg;62601
2025;Segeberg;99512
2025;Steinburg;42027
2025;Stormarn;90320
2025;Hamburg;1084974
2025;Braunschweig;136719
2025;Salzgitter;49473
2025;Wolfsburg;114571
2025;Gifhorn;43611
2025;Goslar;43759
2025;Helmstedt;25686
2025;Northeim;44761
2025;Osterode am Harz;-
2025;Peine;33444
2025;Wolfenbüttel;27107
2025;Göttingen;134476
2025;Region Hannover;547913
2025;Hannover;352553
2025;Diepholz;75997
2025;Hameln-Pyrmont;51378
2025;Hildesheim;95104
2025;Holzminden;23006
2025;Nienburg (Weser);40652
2025;Schaumburg;46974
2025;Celle;59624
2025;Cuxhaven;54561
2025;Harburg;72054
2025;Lüchow-Dannenberg;14971
2025;Lüneburg;63358
2025;Osterholz;28971
2025;Rotenburg (Wümme);60283
2025;Heidekreis;50077
2025;Stade;66233
2025;Uelzen;30749
2025;Verden;52956
2025;Weser-Ems;1060296
2025;Delmenhorst;21403
2025;Emden;31328
2025;Oldenburg (Oldenburg);92910
2025;Osnabrück;101709
2025;Wilhelmshaven;30523
2025;Ammerland;49032
2025;Aurich;63874
2025;Cloppenburg;74645
2025;Emsland;154839
2025;Friesland;31088
2025;Grafschaft Bentheim;54500
2025;Leer;51291
2025;Oldenburg;43025
2025;Vechta;78081
2025;Wesermarsch;33460
2025;Wittmund;17046
2025;Bremen;302219
2025;Bremerhaven;45948
2025;Düsseldorf;460155
2025;Duisburg;179779
2025;Essen;271635
2025;Krefeld;95637
2025;Mönchengladbach;105796
2025;Mülheim an der Ruhr;64165
2025;Oberhausen;70757
2025;Remscheid;46354
2025;Solingen;51870
2025;Wuppertal;131528
2025;Kleve;108962
2025;Mettmann;197349
2025;      Rhein-Kreis Neuss;161826
2025;Viersen;97391
2025;Wesel;147099
